userid_DI_encoded,course_id_encoded,interaction_order,incomplete_flag,registered,viewed,nchapters,nplay_video
30,14,1,1,1,0,3.63442342142082,114.84417345649427
31,1,1,1,1,1,1.0,114.84417345649427
32,1,1,1,1,1,2.0,114.84417345649427
33,7,1,1,1,0,3.63442342142082,114.84417345649427
34,12,1,1,1,1,3.63442342142082,114.84417345649427
35,5,1,1,1,0,3.63442342142082,114.84417345649427
36,9,1,1,1,1,2.0,114.84417345649427
37,3,1,1,1,0,3.63442342142082,114.84417345649427
38,1,1,1,1,0,3.63442342142082,114.84417345649427
39,1,1,1,1,1,2.0,114.84417345649427
40,12,1,1,1,1,1.0,114.84417345649427
40,14,2,1,1,1,4.0,11.0
41,4,1,1,1,0,3.63442342142082,114.84417345649427
41,5,2,1,1,0,3.63442342142082,114.84417345649427
41,12,3,1,1,1,3.63442342142082,114.84417345649427
42,1,1,1,1,1,4.0,114.84417345649427
43,3,1,1,1,0,3.63442342142082,114.84417345649427
44,1,1,1,1,1,2.0,114.84417345649427
45,11,1,1,1,1,3.0,212.0
46,11,1,1,1,1,2.0,32.0
47,1,1,1,1,0,3.63442342142082,114.84417345649427
48,9,1,1,1,1,2.0,31.0
49,1,1,1,1,0,3.63442342142082,114.84417345649427
50,1,1,1,1,1,1.0,114.84417345649427
50,12,2,1,1,1,3.63442342142082,114.84417345649427
51,12,1,1,1,1,3.63442342142082,114.84417345649427
52,11,1,1,1,0,3.63442342142082,114.84417345649427
53,0,1,1,1,1,21.0,114.84417345649427
54,1,1,1,1,0,3.63442342142082,114.84417345649427
54,11,2,1,1,1,3.0,65.0
55,2,1,1,1,0,3.63442342142082,114.84417345649427
56,11,1,1,1,1,3.0,36.0
57,9,1,1,1,1,2.0,10.0
58,1,1,1,1,1,10.0,114.84417345649427
59,10,1,1,1,0,3.63442342142082,114.84417345649427
59,14,2,1,1,1,20.0,771.0
59,12,3,1,1,1,1.0,114.84417345649427
60,1,1,1,1,1,1.0,114.84417345649427
61,0,1,1,1,1,1.0,114.84417345649427
62,9,1,1,1,0,3.63442342142082,114.84417345649427
63,10,1,1,1,0,3.63442342142082,114.84417345649427
64,1,1,1,1,1,3.0,114.84417345649427
64,11,2,1,1,1,6.0,165.0
64,12,3,1,1,1,7.0,76.0
65,13,1,1,1,0,3.63442342142082,114.84417345649427
66,1,1,1,1,0,3.63442342142082,114.84417345649427
67,0,1,1,1,1,1.0,114.84417345649427
67,2,2,1,1,1,4.0,114.84417345649427
68,4,1,1,1,0,3.63442342142082,114.84417345649427
68,13,2,1,1,1,3.0,248.0
68,3,3,1,1,0,3.63442342142082,114.84417345649427
69,11,1,1,1,0,3.63442342142082,114.84417345649427
70,9,1,1,1,1,1.0,114.84417345649427
71,12,1,1,1,1,3.0,70.0
72,9,1,1,1,1,2.0,14.0
73,0,1,1,1,1,4.0,114.84417345649427
74,1,1,1,1,1,2.0,114.84417345649427
75,7,1,1,1,1,2.0,5.0
76,2,1,1,1,0,3.63442342142082,114.84417345649427
77,12,1,1,1,1,8.0,18.0
78,1,1,1,1,1,2.0,114.84417345649427
79,12,1,1,1,1,1.0,114.84417345649427
80,1,1,1,1,0,3.63442342142082,114.84417345649427
81,3,1,1,1,0,3.63442342142082,114.84417345649427
82,3,1,1,1,1,6.0,140.0
82,1,2,1,1,1,3.0,114.84417345649427
82,11,3,1,1,1,2.0,11.0
83,1,1,1,1,1,1.0,114.84417345649427
84,2,1,1,1,0,3.63442342142082,114.84417345649427
84,5,2,1,1,1,5.0,11.0
85,2,1,1,1,1,1.0,114.84417345649427
86,1,1,1,1,1,1.0,114.84417345649427
87,1,1,1,1,0,3.63442342142082,114.84417345649427
88,2,1,1,1,1,1.0,114.84417345649427
89,1,1,1,1,0,2.0,114.84417345649427
90,11,1,1,1,0,3.63442342142082,114.84417345649427
91,4,1,1,1,1,2.0,30.0
92,9,1,1,1,1,17.0,316.0
93,1,1,1,1,1,2.0,114.84417345649427
94,1,1,1,1,1,1.0,114.84417345649427
95,1,1,1,1,0,3.63442342142082,114.84417345649427
95,3,2,1,1,0,3.63442342142082,114.84417345649427
95,11,3,1,1,0,3.63442342142082,114.84417345649427
96,1,1,1,1,1,1.0,114.84417345649427
97,10,1,1,1,1,2.0,10.0
98,3,1,1,1,0,3.63442342142082,114.84417345649427
99,3,1,1,1,1,15.0,39.0
99,4,2,1,1,1,1.0,13.0
100,3,1,1,1,1,3.0,114.84417345649427
101,3,1,1,1,1,1.0,114.84417345649427
102,7,1,1,1,1,1.0,114.84417345649427
103,2,1,1,1,1,3.0,114.84417345649427
104,1,1,1,1,1,1.0,114.84417345649427
105,2,1,1,1,1,4.0,114.84417345649427
105,4,2,1,1,1,3.0,95.0
106,2,1,1,1,1,2.0,114.84417345649427
106,6,2,1,1,0,3.63442342142082,114.84417345649427
107,2,1,1,1,1,1.0,114.84417345649427
108,0,1,1,1,0,3.63442342142082,114.84417345649427
109,1,1,1,1,1,1.0,114.84417345649427
110,3,1,1,1,0,3.63442342142082,114.84417345649427
111,1,1,1,1,1,10.0,114.84417345649427
111,12,2,1,1,1,4.0,3.0
112,1,1,1,1,0,3.63442342142082,114.84417345649427
113,1,1,1,1,0,3.63442342142082,114.84417345649427
114,14,1,1,1,1,4.0,244.0
115,9,1,1,1,0,3.63442342142082,114.84417345649427
116,0,1,1,1,0,3.63442342142082,114.84417345649427
117,1,1,1,1,1,1.0,114.84417345649427
118,7,1,1,1,1,1.0,1.0
119,3,1,1,1,0,3.63442342142082,114.84417345649427
120,1,1,1,1,0,3.63442342142082,114.84417345649427
120,12,2,1,1,1,3.63442342142082,114.84417345649427
121,14,1,1,1,1,2.0,1.0
122,1,1,1,1,1,2.0,114.84417345649427
123,1,1,1,1,1,2.0,114.84417345649427
123,14,2,1,1,1,4.0,3.0
124,9,1,1,1,1,4.0,23.0
125,3,1,1,1,0,3.63442342142082,114.84417345649427
126,14,1,1,1,0,3.63442342142082,114.84417345649427
127,4,1,1,1,1,1.0,1.0
128,1,1,1,1,1,2.0,114.84417345649427
128,12,2,1,1,1,1.0,3.0
129,3,1,1,1,0,3.63442342142082,114.84417345649427
130,2,1,1,1,1,4.0,114.84417345649427
131,1,1,1,1,1,3.0,114.84417345649427
132,10,1,1,1,1,3.0,30.0
133,1,1,1,1,1,7.0,114.84417345649427
134,9,1,1,1,1,2.0,35.0
134,11,2,1,1,0,3.63442342142082,114.84417345649427
135,11,1,1,1,0,3.63442342142082,114.84417345649427
136,1,1,1,1,0,3.63442342142082,114.84417345649427
136,11,2,1,1,1,2.0,2.0
137,1,1,1,1,1,6.0,114.84417345649427
138,11,1,1,1,1,2.0,114.84417345649427
139,1,1,1,1,0,3.63442342142082,114.84417345649427
140,1,1,1,1,1,3.0,114.84417345649427
141,1,1,1,1,1,2.0,114.84417345649427
142,0,1,1,1,1,1.0,114.84417345649427
142,2,2,1,1,1,4.0,114.84417345649427
143,0,1,1,1,0,3.63442342142082,114.84417345649427
144,11,1,1,1,0,3.63442342142082,114.84417345649427
144,10,2,1,1,0,3.63442342142082,114.84417345649427
145,2,1,1,1,1,3.0,114.84417345649427
146,11,1,1,1,1,2.0,15.0
147,11,1,1,1,1,18.0,454.0
148,1,1,1,1,1,1.0,114.84417345649427
149,0,1,1,1,1,2.0,114.84417345649427
150,9,1,1,1,1,2.0,5.0
151,4,1,1,1,1,2.0,114.84417345649427
151,2,2,1,1,1,15.0,114.84417345649427
152,12,1,1,1,1,3.63442342142082,114.84417345649427
153,4,1,1,1,1,2.0,12.0
154,10,1,1,1,1,2.0,1.0
155,1,1,1,1,0,3.63442342142082,114.84417345649427
156,11,1,1,1,1,1.0,6.0
157,1,1,1,1,1,4.0,114.84417345649427
158,2,1,1,1,1,3.0,114.84417345649427
159,9,1,1,1,0,3.63442342142082,114.84417345649427
160,2,1,1,1,0,3.63442342142082,114.84417345649427
161,5,1,1,1,0,3.63442342142082,114.84417345649427
162,2,1,1,1,0,3.63442342142082,114.84417345649427
163,12,1,1,1,1,3.63442342142082,114.84417345649427
164,2,1,1,1,1,1.0,114.84417345649427
164,14,2,1,1,1,11.0,110.0
164,9,3,1,1,1,7.0,126.0
165,12,1,1,1,1,1.0,1.0
166,10,1,1,1,1,8.0,588.0
166,2,2,1,1,1,4.0,114.84417345649427
167,3,1,1,1,0,3.63442342142082,114.84417345649427
168,12,1,1,1,0,3.63442342142082,114.84417345649427
169,2,1,1,1,0,3.63442342142082,114.84417345649427
170,3,1,1,1,1,1.0,1.0
171,1,1,1,1,0,3.63442342142082,114.84417345649427
171,11,2,1,1,0,3.63442342142082,114.84417345649427
172,12,1,1,1,1,3.0,114.84417345649427
173,9,1,1,1,1,3.0,114.84417345649427
173,10,2,1,1,1,3.0,19.0
174,11,1,1,1,1,2.0,114.84417345649427
175,14,1,1,1,1,2.0,33.0
176,1,1,1,1,1,1.0,114.84417345649427
176,12,2,1,1,1,1.0,1.0
177,1,1,1,1,1,2.0,114.84417345649427
178,14,1,1,1,0,3.63442342142082,114.84417345649427
179,1,1,1,1,1,1.0,114.84417345649427
180,1,1,1,1,0,3.63442342142082,114.84417345649427
180,9,2,1,1,0,3.63442342142082,114.84417345649427
180,11,3,1,1,0,3.63442342142082,114.84417345649427
181,2,1,1,1,1,2.0,114.84417345649427
182,1,1,1,1,1,1.0,114.84417345649427
183,1,1,1,1,0,3.63442342142082,114.84417345649427
184,14,1,1,1,1,17.0,25.0
184,2,2,1,1,1,9.0,114.84417345649427
184,10,3,1,1,1,5.0,43.0
184,0,4,1,1,1,15.0,114.84417345649427
185,1,1,1,1,0,3.63442342142082,114.84417345649427
185,3,2,1,1,0,3.63442342142082,114.84417345649427
185,7,3,1,1,0,3.63442342142082,114.84417345649427
185,9,4,1,1,0,3.63442342142082,114.84417345649427
185,11,5,1,1,0,3.63442342142082,114.84417345649427
186,9,1,1,1,1,4.0,95.0
186,11,2,1,1,0,3.63442342142082,114.84417345649427
187,14,1,1,1,0,3.63442342142082,114.84417345649427
188,1,1,1,1,0,3.63442342142082,114.84417345649427
188,0,2,1,1,0,3.63442342142082,114.84417345649427
188,2,3,1,1,0,3.63442342142082,114.84417345649427
188,4,4,1,1,0,3.63442342142082,114.84417345649427
188,5,5,1,1,0,3.63442342142082,114.84417345649427
188,8,6,1,1,1,3.63442342142082,114.84417345649427
188,10,7,1,1,0,3.63442342142082,114.84417345649427
188,12,8,1,1,1,3.63442342142082,114.84417345649427
188,14,9,1,1,0,3.63442342142082,114.84417345649427
189,1,1,1,1,0,3.63442342142082,114.84417345649427
189,3,2,1,1,0,3.63442342142082,114.84417345649427
190,9,1,1,1,1,4.0,123.0
191,12,1,1,1,1,3.63442342142082,114.84417345649427
192,11,1,1,1,0,3.63442342142082,114.84417345649427
193,1,1,1,1,1,2.0,114.84417345649427
194,5,1,1,1,0,3.63442342142082,114.84417345649427
195,0,1,1,1,0,3.63442342142082,114.84417345649427
195,2,2,1,1,0,3.63442342142082,114.84417345649427
196,3,1,1,1,0,3.63442342142082,114.84417345649427
197,1,1,1,1,0,3.63442342142082,114.84417345649427
198,12,1,1,1,1,4.0,40.0
199,1,1,1,1,1,1.0,114.84417345649427
199,11,2,1,1,1,2.0,17.0
200,15,1,1,1,1,1.0,114.84417345649427
201,12,1,1,1,1,2.0,122.0
201,14,2,1,1,0,3.63442342142082,114.84417345649427
201,10,3,1,1,0,3.63442342142082,114.84417345649427
202,9,1,1,1,0,3.63442342142082,114.84417345649427
202,12,2,1,1,1,3.63442342142082,114.84417345649427
203,9,1,1,1,1,2.0,114.84417345649427
204,2,1,1,1,1,33.0,114.84417345649427
205,5,1,1,1,1,1.0,16.0
206,1,1,1,1,1,1.0,114.84417345649427
207,1,1,1,1,1,1.0,114.84417345649427
207,0,2,1,1,1,5.0,114.84417345649427
208,5,1,1,1,0,3.63442342142082,114.84417345649427
209,3,1,1,1,1,1.0,114.84417345649427
210,5,1,1,1,1,1.0,3.0
211,1,1,1,1,1,1.0,114.84417345649427
211,9,2,1,1,1,3.0,9.0
211,11,3,1,1,1,3.0,118.0
211,12,4,1,1,1,2.0,114.84417345649427
212,9,1,1,1,0,3.63442342142082,114.84417345649427
213,2,1,1,1,0,3.63442342142082,114.84417345649427
214,12,1,1,1,1,4.0,41.0
215,1,1,1,1,1,12.0,114.84417345649427
215,12,2,1,1,1,3.0,96.0
216,1,1,1,1,1,1.0,114.84417345649427
217,12,1,1,1,1,1.0,114.84417345649427
218,2,1,1,1,0,3.63442342142082,114.84417345649427
219,15,1,1,1,1,6.0,114.84417345649427
220,11,1,1,1,1,1.0,11.0
221,1,1,1,1,1,1.0,114.84417345649427
222,1,1,1,1,1,1.0,114.84417345649427
222,12,2,1,1,1,2.0,2.0
223,1,1,1,1,1,11.0,114.84417345649427
223,4,2,1,1,0,3.63442342142082,114.84417345649427
223,5,3,1,1,1,1.0,10.0
223,6,4,1,1,0,3.63442342142082,114.84417345649427
224,11,1,1,1,1,2.0,27.0
225,1,1,1,1,1,1.0,114.84417345649427
226,2,1,1,1,1,2.0,114.84417345649427
226,8,2,1,1,1,1.0,1.0
227,1,1,1,1,1,1.0,114.84417345649427
227,10,2,1,1,0,3.63442342142082,114.84417345649427
227,12,3,1,1,1,7.0,9.0
227,14,4,1,1,1,1.0,114.84417345649427
228,1,1,1,1,0,3.63442342142082,114.84417345649427
229,8,1,1,1,1,6.0,152.0
229,13,2,1,1,0,3.63442342142082,114.84417345649427
230,11,1,1,1,1,3.0,49.0
231,1,1,1,1,1,1.0,114.84417345649427
232,1,1,1,1,1,12.0,114.84417345649427
233,1,1,1,1,0,3.63442342142082,114.84417345649427
234,1,1,1,1,0,3.63442342142082,114.84417345649427
235,1,1,1,1,0,3.63442342142082,114.84417345649427
236,12,1,1,1,1,1.0,1.0
237,3,1,1,1,1,2.0,80.0
238,2,1,1,1,1,2.0,114.84417345649427
239,12,1,1,1,1,8.0,28.0
240,1,1,1,1,0,3.63442342142082,114.84417345649427
241,4,1,1,1,1,1.0,14.0
242,3,1,1,1,0,3.63442342142082,114.84417345649427
242,11,2,1,1,0,3.63442342142082,114.84417345649427
243,0,1,1,1,0,3.63442342142082,114.84417345649427
243,1,2,1,1,0,3.63442342142082,114.84417345649427
243,2,3,1,1,0,3.63442342142082,114.84417345649427
243,15,4,1,1,1,1.0,114.84417345649427
244,1,1,1,1,1,1.0,114.84417345649427
245,4,1,1,1,0,3.63442342142082,114.84417345649427
246,3,1,1,1,0,3.63442342142082,114.84417345649427
247,11,1,1,1,1,1.0,5.0
248,2,1,1,1,1,14.0,114.84417345649427
249,15,1,1,1,1,5.0,114.84417345649427
250,1,1,1,1,0,3.63442342142082,114.84417345649427
251,11,1,1,1,0,3.63442342142082,114.84417345649427
252,13,1,1,1,1,2.0,114.84417345649427
253,1,1,1,1,0,3.63442342142082,114.84417345649427
254,1,1,1,1,1,1.0,114.84417345649427
255,1,1,1,1,1,10.0,114.84417345649427
256,9,1,1,1,0,3.63442342142082,114.84417345649427
257,7,1,1,1,0,3.63442342142082,114.84417345649427
258,1,1,1,1,1,1.0,114.84417345649427
258,4,2,1,1,0,3.63442342142082,114.84417345649427
259,1,1,1,1,1,1.0,114.84417345649427
260,11,1,1,1,1,3.0,13.0
261,1,1,1,1,1,1.0,114.84417345649427
262,4,1,1,1,0,3.63442342142082,114.84417345649427
263,4,1,1,1,1,2.0,15.0
264,4,1,1,1,0,3.63442342142082,114.84417345649427
265,1,1,1,1,1,2.0,114.84417345649427
266,1,1,1,1,1,1.0,114.84417345649427
267,1,1,1,1,1,3.0,114.84417345649427
268,5,1,1,1,0,3.63442342142082,114.84417345649427
269,3,1,1,1,0,3.63442342142082,114.84417345649427
270,6,1,1,1,1,4.0,114.84417345649427
270,12,2,1,1,1,1.0,114.84417345649427
270,14,3,1,1,1,1.0,114.84417345649427
271,1,1,1,1,1,1.0,114.84417345649427
272,1,1,1,1,0,3.63442342142082,114.84417345649427
273,1,1,1,1,1,3.0,114.84417345649427
274,1,1,1,1,1,2.0,114.84417345649427
274,12,2,1,1,1,4.0,18.0
274,15,3,1,1,1,4.0,114.84417345649427
275,9,1,1,1,1,2.0,2.0
276,4,1,1,1,1,2.0,1.0
277,12,1,1,1,1,3.0,16.0
278,1,1,1,1,0,3.63442342142082,114.84417345649427
278,11,2,1,1,1,3.0,50.0
279,4,1,1,1,0,3.63442342142082,114.84417345649427
280,0,1,1,1,0,3.63442342142082,114.84417345649427
280,2,2,1,1,0,3.63442342142082,114.84417345649427
281,11,1,1,1,1,3.0,22.0
282,2,1,1,1,1,2.0,114.84417345649427
283,1,1,1,1,1,3.0,114.84417345649427
284,4,1,1,1,1,1.0,4.0
284,3,2,1,1,1,2.0,114.84417345649427
285,14,1,1,1,1,2.0,26.0
286,1,1,1,1,1,2.0,114.84417345649427
287,7,1,1,1,1,2.0,3.0
288,4,1,1,1,1,1.0,3.0
289,4,1,1,1,0,3.63442342142082,114.84417345649427
289,5,2,1,1,0,3.63442342142082,114.84417345649427
290,1,1,1,1,1,1.0,114.84417345649427
291,3,1,1,1,0,3.63442342142082,114.84417345649427
291,7,2,1,1,0,3.63442342142082,114.84417345649427
292,2,1,1,1,1,1.0,114.84417345649427
293,12,1,1,1,1,3.63442342142082,114.84417345649427
294,9,1,1,1,1,2.0,22.0
295,2,1,1,1,1,5.0,114.84417345649427
296,0,1,1,1,0,3.63442342142082,114.84417345649427
297,1,1,1,1,0,3.63442342142082,114.84417345649427
297,11,2,1,1,1,1.0,23.0
298,1,1,1,1,0,3.63442342142082,114.84417345649427
298,11,2,1,1,1,2.0,51.0
299,1,1,1,1,0,3.63442342142082,114.84417345649427
299,12,2,1,1,1,1.0,114.84417345649427
300,3,1,1,1,1,2.0,8.0
301,12,1,1,1,1,2.0,114.84417345649427
302,5,1,1,1,1,1.0,23.0
302,14,2,1,1,1,3.0,251.0
302,10,3,1,1,1,3.0,13.0
303,1,1,1,1,1,1.0,114.84417345649427
303,9,2,1,1,1,2.0,8.0
304,1,1,1,1,1,1.0,114.84417345649427
305,14,1,1,1,0,3.63442342142082,114.84417345649427
306,9,1,1,1,1,2.0,1.0
307,1,1,1,1,1,4.0,114.84417345649427
308,3,1,1,1,0,3.63442342142082,114.84417345649427
309,1,1,1,1,0,3.63442342142082,114.84417345649427
310,2,1,1,1,0,3.63442342142082,114.84417345649427
310,4,2,1,1,0,3.63442342142082,114.84417345649427
311,2,1,1,1,1,1.0,114.84417345649427
312,4,1,1,1,1,1.0,3.0
313,1,1,1,1,0,3.63442342142082,114.84417345649427
314,7,1,1,1,1,1.0,114.84417345649427
315,1,1,1,1,1,1.0,114.84417345649427
316,0,1,1,1,1,2.0,114.84417345649427
316,2,2,1,1,1,16.0,114.84417345649427
317,11,1,1,1,1,15.0,229.0
318,3,1,1,1,1,2.0,2.0
319,1,1,1,1,0,3.63442342142082,114.84417345649427
319,11,2,1,1,1,1.0,9.0
320,3,1,1,1,0,3.63442342142082,114.84417345649427
321,2,1,1,1,0,3.63442342142082,114.84417345649427
322,1,1,1,1,1,2.0,114.84417345649427
323,12,1,1,1,1,1.0,114.84417345649427
324,1,1,1,1,0,3.63442342142082,114.84417345649427
325,2,1,1,1,0,3.63442342142082,114.84417345649427
326,1,1,1,1,1,3.0,114.84417345649427
327,1,1,1,1,1,1.0,114.84417345649427
328,7,1,1,1,0,3.63442342142082,114.84417345649427
329,3,1,1,1,0,3.63442342142082,114.84417345649427
329,0,2,1,1,0,3.63442342142082,114.84417345649427
329,13,3,1,1,1,1.0,3.0
330,2,1,1,1,0,3.63442342142082,114.84417345649427
331,1,1,1,1,0,3.63442342142082,114.84417345649427
332,1,1,1,1,0,3.63442342142082,114.84417345649427
333,1,1,1,1,0,3.63442342142082,114.84417345649427
334,9,1,1,1,0,3.63442342142082,114.84417345649427
335,3,1,1,1,0,3.63442342142082,114.84417345649427
336,14,1,1,1,1,2.0,114.84417345649427
337,1,1,1,1,1,1.0,114.84417345649427
338,1,1,1,1,1,1.0,114.84417345649427
339,3,1,1,1,1,11.0,404.0
339,4,2,1,1,0,3.63442342142082,114.84417345649427
340,12,1,1,1,1,2.0,8.0
341,1,1,1,1,1,1.0,114.84417345649427
341,12,2,1,1,1,3.63442342142082,114.84417345649427
342,1,1,1,1,1,1.0,114.84417345649427
342,11,2,1,1,1,3.63442342142082,114.84417345649427
343,10,1,1,1,1,1.0,114.84417345649427
344,1,1,1,1,1,1.0,114.84417345649427
344,0,2,1,1,0,3.63442342142082,114.84417345649427
345,2,1,1,1,0,3.63442342142082,114.84417345649427
346,2,1,1,1,0,3.63442342142082,114.84417345649427
346,5,2,1,1,0,3.63442342142082,114.84417345649427
347,7,1,1,1,0,3.63442342142082,114.84417345649427
348,1,1,1,1,1,7.0,114.84417345649427
349,4,1,1,1,0,3.63442342142082,114.84417345649427
350,1,1,1,1,0,3.63442342142082,114.84417345649427
351,1,1,1,1,1,1.0,114.84417345649427
352,9,1,1,1,1,1.0,114.84417345649427
353,11,1,1,1,1,4.0,21.0
354,14,1,1,1,1,3.0,52.0
355,1,1,1,1,0,2.0,114.84417345649427
356,0,1,1,1,0,3.63442342142082,114.84417345649427
356,2,2,1,1,0,3.63442342142082,114.84417345649427
357,9,1,1,1,1,16.0,642.0
357,1,2,1,1,1,2.0,114.84417345649427
358,5,1,1,1,1,2.0,46.0
359,6,1,1,1,1,4.0,141.0
360,12,1,1,1,1,1.0,17.0
361,4,1,1,1,0,3.63442342142082,114.84417345649427
362,3,1,1,1,1,1.0,20.0
363,5,1,1,1,0,3.63442342142082,114.84417345649427
364,1,1,1,1,0,3.63442342142082,114.84417345649427
365,3,1,1,1,1,2.0,6.0
366,1,1,1,1,1,1.0,114.84417345649427
367,1,1,1,1,1,2.0,114.84417345649427
368,5,1,1,1,1,2.0,3.0
369,0,1,1,1,1,27.0,114.84417345649427
370,0,1,1,1,1,2.0,114.84417345649427
371,3,1,1,1,1,3.0,114.84417345649427
372,1,1,1,1,0,3.63442342142082,114.84417345649427
373,1,1,1,1,1,1.0,114.84417345649427
374,1,1,1,1,1,11.0,114.84417345649427
375,11,1,1,1,1,1.0,7.0
376,3,1,1,1,1,5.0,257.0
377,3,1,1,1,0,3.63442342142082,114.84417345649427
378,1,1,1,1,1,1.0,114.84417345649427
379,1,1,1,1,1,1.0,114.84417345649427
380,1,1,1,1,1,3.0,114.84417345649427
381,1,1,1,1,1,2.0,114.84417345649427
382,3,1,1,1,1,2.0,114.84417345649427
383,7,1,1,1,1,4.0,191.0
383,9,2,1,1,0,3.63442342142082,114.84417345649427
383,13,3,1,1,1,3.0,138.0
384,9,1,1,1,1,2.0,6.0
385,1,1,1,1,0,3.63442342142082,114.84417345649427
386,9,1,1,1,1,2.0,114.84417345649427
387,1,1,1,1,0,3.63442342142082,114.84417345649427
387,11,2,1,1,0,3.63442342142082,114.84417345649427
388,3,1,1,1,1,1.0,19.0
389,2,1,1,1,0,3.63442342142082,114.84417345649427
389,12,2,1,1,1,3.63442342142082,114.84417345649427
390,12,1,1,1,1,4.0,199.0
391,9,1,1,1,1,3.0,25.0
392,12,1,1,1,1,7.0,215.0
393,1,1,1,1,0,3.63442342142082,114.84417345649427
394,5,1,1,1,1,5.0,146.0
395,2,1,1,1,1,2.0,114.84417345649427
396,2,1,1,1,0,3.63442342142082,114.84417345649427
397,1,1,1,1,0,3.63442342142082,114.84417345649427
397,7,2,1,1,1,1.0,1.0
397,9,3,1,1,1,2.0,2.0
397,11,4,1,1,1,1.0,114.84417345649427
397,12,5,1,1,1,3.0,114.84417345649427
398,0,1,1,1,0,3.63442342142082,114.84417345649427
398,2,2,1,1,0,3.63442342142082,114.84417345649427
398,4,3,1,1,1,1.0,114.84417345649427
398,15,4,1,1,0,3.63442342142082,114.84417345649427
399,14,1,1,1,0,3.63442342142082,114.84417345649427
400,4,1,1,1,1,3.0,9.0
401,2,1,1,1,1,2.0,114.84417345649427
402,6,1,1,1,1,11.0,155.0
403,1,1,1,1,0,3.63442342142082,114.84417345649427
403,11,2,1,1,1,4.0,114.84417345649427
404,4,1,1,1,1,2.0,1.0
405,7,1,1,1,0,3.63442342142082,114.84417345649427
406,12,1,1,1,1,2.0,5.0
407,12,1,1,1,1,3.63442342142082,114.84417345649427
408,12,1,1,1,1,3.63442342142082,114.84417345649427
409,15,1,1,1,1,40.0,64.0
410,9,1,1,1,1,2.0,60.0
410,1,2,1,1,1,2.0,114.84417345649427
410,11,3,1,1,1,7.0,114.84417345649427
411,0,1,1,1,1,2.0,114.84417345649427
412,4,1,1,1,0,3.63442342142082,114.84417345649427
413,1,1,1,1,1,1.0,114.84417345649427
414,12,1,1,1,1,1.0,1.0
415,1,1,1,1,0,3.63442342142082,114.84417345649427
415,12,2,1,1,1,2.0,14.0
416,15,1,1,1,1,1.0,114.84417345649427
417,2,1,1,1,0,3.63442342142082,114.84417345649427
417,5,2,1,1,1,1.0,114.84417345649427
418,12,1,1,1,1,4.0,79.0
419,4,1,1,1,1,3.0,3.0
420,0,1,1,1,1,1.0,114.84417345649427
421,11,1,1,1,0,3.63442342142082,114.84417345649427
422,2,1,1,1,1,3.0,114.84417345649427
422,4,2,1,1,1,2.0,1.0
423,12,1,1,1,1,1.0,114.84417345649427
424,1,1,1,1,1,11.0,114.84417345649427
424,12,2,1,1,1,3.63442342142082,114.84417345649427
425,3,1,1,1,1,2.0,24.0
426,8,1,1,1,1,2.0,114.84417345649427
426,14,2,1,1,1,2.0,49.0
427,11,1,1,1,0,3.63442342142082,114.84417345649427
428,1,1,1,1,0,3.63442342142082,114.84417345649427
428,11,2,1,1,0,3.63442342142082,114.84417345649427
429,2,1,1,1,1,5.0,114.84417345649427
430,12,1,1,1,1,5.0,5.0
